,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
206,2022910023,2091071,4,M,EAST,421,146,STREET,10455,421 EAST 146 STREET
207,2022910023,2091071,4,M,EAST,423,146,STREET,10455,423 EAST 146 STREET
208,2022910023,2091071,4,M,EAST,425,146,STREET,10455,425 EAST 146 STREET
209,2022910023,2091071,4,M,EAST,427,146,STREET,10455,427 EAST 146 STREET
210,2022910023,2091071,4,M,EAST,429,146,STREET,10455,429 EAST 146 STREET
211,2022910023,2091071,4,M,EAST,431,146,STREET,10455,431 EAST 146 STREET
212,2022720038,2093912,5,,EAST,527,146,STREET,10455,527 EAST 146 STREET
213,2022720038,2093912,5,M,EAST,545,146,STREET,10455,545 EAST 146 STREET
214,2022720038,2093912,5,,EAST,547,146,STREET,10455,547 EAST 146 STREET
215,2022720038,2093912,5,,EAST,537,146,STREET,10455,537 EAST 146 STREET
